Current,Target Voltage,Actual Voltage,Time
,,,
1.2818,1.107,0.455,0.0693807601928711
0.6409,1.721,1.05,0.1388852596282959
0.5799,2.335,1.674,0.2088181972503662
0.7935,2.947,2.257,0.2790703773498535
11.048,3.457,2.899,0.35042333602905273
22.8591,3.848,3.412,0.4214973449707031
34.8227,4.12,3.845,0.4928455352783203
42.2084,4.318,4.105,0.5640130043029785
47.2746,4.465,4.273,0.6353127956390381
50.7844,4.577,4.47,0.7064034938812256
53.0123,4.667,4.595,0.7776350975036621
53.7142,4.75,4.653,0.8492615222930908
55.759,4.812,4.77,0.9201500415802002
55.9421,4.873,4.819,0.9913928508758545
56.9798,4.923,4.895,1.0625603199005127
57.0408,4.973,4.935,1.1338293552398682
56.2473,5.0,4.94,1.2050423622131348
55.0266,5.0,4.944,1.2791352272033691
53.7142,5.0,4.937,1.347494125366211
52.8292,5.0,4.94,1.418860673904419
52.1577,5.0,4.947,1.4900238513946533
49.7162,5.0,4.955,1.5611395835876465
48.8616,5.0,4.948,1.6324291229248047
47.6408,5.0,4.949,1.7037708759307861
46.1759,5.0,4.95,1.7748584747314453
45.8707,5.0,4.952,1.8461365699768066
44.6194,5.0,4.953,1.9172649383544922
44.711,5.0,4.951,1.9884753227233887
43.7954,5.0,4.958,2.059704303741455
42.7577,5.0,4.955,2.13089919090271
42.3305,5.0,4.955,2.202068567276001
42.5136,5.0,4.956,2.2735493183135986
42.0558,5.0,4.956,2.344557523727417
41.7201,5.0,4.955,2.415886640548706
41.7201,5.0,4.95,2.4869797229766846
40.4993,5.0,4.956,2.558237075805664
40.2246,5.0,4.959,2.629526376724243
40.1331,5.0,4.963,2.700782299041748
40.0415,5.0,4.951,2.77195405960083
40.774,5.0,4.957,2.843151569366455
40.1636,5.0,4.958,2.9143784046173096
41.0181,5.0,4.954,2.985551357269287
39.6448,5.0,4.961,3.0568130016326904
39.7363,5.0,4.959,3.12795090675354
40.3162,5.0,4.954,3.1993181705474854
39.187,5.0,4.958,3.2706027030944824
40.1636,5.0,4.96,3.3416643142700195
39.8584,5.0,4.961,3.413139820098877
39.7058,5.0,4.961,3.4840826988220215
38.8818,5.0,4.955,3.555360794067383
39.7668,5.0,4.959,3.626558542251587
40.4688,5.0,4.958,3.697702169418335
39.7668,5.0,4.962,3.7689647674560547
40.011,5.0,4.958,3.8402302265167236
39.0038,5.0,4.958,3.911506414413452
38.2714,5.0,4.956,3.982658624649048
37.6305,5.0,4.961,4.05392599105835
36.6844,5.0,4.962,4.125070333480835
37.8136,5.0,4.961,4.196409702301025
38.5155,5.0,4.96,4.2674336433410645
38.6071,5.0,4.958,4.338790655136108
38.3019,5.0,4.96,4.4099085330963135
38.3629,5.0,4.957,4.481586217880249
37.8441,5.0,4.96,4.55275559425354
38.2103,5.0,4.959,4.62416934967041
38.1188,5.0,4.96,4.6949450969696045
38.4545,5.0,4.962,4.766149520874023
37.5389,5.0,4.958,4.837296009063721
37.6,5.0,4.96,4.908535003662109
37.1116,5.0,4.961,4.979785919189453
36.5928,5.0,4.962,5.050864219665527
36.5013,5.0,4.959,5.122229337692261
36.7759,5.0,4.961,5.19345760345459
37.2032,5.0,4.961,5.264597177505493
36.6233,5.0,4.962,5.3359034061431885
37.0506,5.0,4.962,5.407055854797363
37.0201,5.0,4.96,5.478298664093018
36.2266,5.0,4.962,5.549386262893677
35.7993,5.0,4.963,5.620854616165161
37.0506,5.0,4.959,5.6918768882751465
36.2571,5.0,4.962,5.763160705566406
36.7759,5.0,4.958,5.834426164627075
36.4097,5.0,4.963,5.905583620071411
36.4402,5.0,4.961,5.976907968521118
37.3253,5.0,4.962,6.0479819774627686
37.8136,5.0,4.959,6.119253635406494
36.6233,5.0,4.96,6.190425157546997
36.959,5.0,4.959,6.261744022369385
35.8603,5.0,4.96,6.332895517349243
35.7993,5.0,4.96,6.404102802276611
36.9896,5.0,4.977,6.475415229797363
36.6233,5.0,4.963,6.546604633331299
36.3792,5.0,4.961,6.617796897888184
35.7688,5.0,4.962,6.688936233520508
36.5928,5.0,4.961,6.760533571243286
37.0201,5.0,4.962,6.831637382507324
36.9896,5.0,4.96,6.902612686157227
36.2876,5.0,4.963,6.97388768196106
36.3487,5.0,4.962,7.045053720474243
36.7759,5.0,4.961,7.1166322231292725
36.3487,5.0,4.963,7.187498569488525
37.3863,5.0,4.964,7.25874400138855
35.9214,5.0,4.961,7.329900026321411
36.3487,5.0,4.958,7.401165008544922
36.1655,5.0,4.958,7.472326040267944
36.1045,5.0,4.963,7.543581008911133
35.0974,5.0,4.965,7.614932298660278
36.2266,5.0,4.962,7.686115980148315
